gene	idx
HSPE1	1570
HSPG2	1571
HSPH1	1572
HTR1D	1573
HTR2A	1574
HTR2B	1575
HTR3C	1576
HTR3E	1577
HTR4	1578
HTR7	1579
HYAL1	1580
HYAL2	1581
IAPP	1582
ICAM1	1583
ICAM2	1584
ICAM3	1585
ICAM5	1586
ICOS	1587
ID1	1588
ID2	1589
ID3	1590
ID4	1591
IDI2	1592
IDO2	1593
IDS	1594
IER2	1595
IER3	1596
IER5	1597
IER5L	1598
IFFO2	1599
IFI27	1600
IFI30	1601
IFI35	1602
IFI44	1603
IFI44L	1604
IFI6	1605
IFIH1	1606
IFIT1	1607
IFIT2	1608
IFIT3	1609
IFIT5	1610
IFITM2	1611
IFNA14	1612
IFNA16	1613
IFNA5	1614
IFNA6	1615
IFNA8	1616
IFNB1	1617
IFNG	1618
IFNGR2	1619
IFNK	1620
IFNL1	1621
IFNW1	1622
IFRD1	1623
IFRD2	1624
IFT57	1625
IGBP1	1626
IGDCC4	1627
IGF1	1628
IGFBP3	1629
IGFBP4	1630
IGFBP6	1631
IGFL1	1632
IGFL2	1633
IGFL3	1634
IGFL4	1635
IGFLR1	1636
IGHA2	1637
IGHM	1638
IGKC	1639
IGLC7	1640
IGSF21	1641
IGSF22	1642
IGSF9B	1643
IHO1	1644
IKBKE	1645
IKZF2	1646
IKZF3	1647
IL10	1648
IL10RA	1649
IL12B	1650
IL12RB2	1651
IL13	1652
IL16	1653
IL17A	1654
IL17B	1655
IL17F	1656
IL17RB	1657
IL18	1658
IL18R1	1659
IL18RAP	1660
IL19	1661
IL1A	1662
IL1B	1663
IL1F10	1664
IL1R1	1665
IL1RAP	1666
IL1RL1	1667
IL1RN	1668
IL2	1669
IL21	1670
IL21R	1671
IL22	1672
IL22RA2	1673
IL23A	1674
IL23R	1675
IL24	1676
IL25	1677
IL26	1678
IL27	1679
IL2RB	1680
IL3	1681
IL31	1682
IL32	1683
IL33	1684
IL36B	1685
IL36RN	1686
IL3RA	1687
IL4	1688
IL4I1	1689
IL5	1690
IL6	1691
IL6ST	1692
IL7R	1693
IL9	1694
IL9R	1695
IMMP2L	1696
IMP4	1697
IMPG1	1698
INCENP	1699
INF2	1700
INHA	1701
INHBA	1702
INKA2	1703
INPP4A	1704
INPP5F	1705
INS	1706
INSC	1707
INSIG1	1708
